gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00008465	AL021155.4	AL021155.4	control	treated	0.00431115895846304	362
geneComp_00008101	ADGRG1	ADGRG1	control	treated	0.0043449554663094	363
geneComp_00021101	IRAK1BP1	IRAK1BP1	control	treated	0.00441984370980737	364
geneComp_00030032	RFPL3S	RFPL3S	control	treated	0.0044665421726734	365
geneComp_00036232	TPD52	TPD52	control	treated	0.00448559596515681	366
geneComp_00034750	STAG1	STAG1	control	treated	0.00455798428542687	367
geneComp_00037097	UNC45A	UNC45A	control	treated	0.00458308806395545	368
geneComp_00035223	TBC1D19	TBC1D19	control	treated	0.00466972373370173	369
geneComp_00019918	HBEGF	HBEGF	control	treated	0.0047951296291486	370
geneComp_00036818	TXNDC15	TXNDC15	control	treated	0.00496030754157368	371
geneComp_00024430	MED29	MED29	control	treated	0.00496350063182688	372
geneComp_00008790	AL035530.2	AL035530.2	control	treated	0.00507718617552944	373
geneComp_00016695	DNAH1	DNAH1	control	treated	0.00517654283070092	374
geneComp_00020839	IGSF11	IGSF11	control	treated	0.00532890360385741	375
geneComp_00034576	SRD5A3-AS1	SRD5A3-AS1	control	treated	0.00551289462909677	376
geneComp_00033699	SLC6A16	SLC6A16	control	treated	0.00568849629575793	377
geneComp_00013813	C1QTNF12	C1QTNF12	control	treated	0.00574531252384051	378
geneComp_00019586	GS1-279B7.1	GS1-279B7.1	control	treated	0.0058212988825618	379
geneComp_00022416	LINC00893	LINC00893	control	treated	0.00588008187686252	380
geneComp_00023728	LNX2	LNX2	control	treated	0.00589175915593082	381
geneComp_00026533	NME1-NME2	NME1-NME2	control	treated	0.00595330551849849	382
geneComp_00025540	MST1	MST1	control	treated	0.00605085358549388	383
geneComp_00026673	NPIPP1	NPIPP1	control	treated	0.00606948576921237	384
geneComp_00018013	FAM230H	FAM230H	control	treated	0.00608476182001429	385
geneComp_00016225	CYYR1-AS1	CYYR1-AS1	control	treated	0.00613736405376779	386
geneComp_00030014	REXO2	REXO2	control	treated	0.00616071417822407	387
geneComp_00008020	ADAM8	ADAM8	control	treated	0.00630988328148007	388
geneComp_00012430	AP1S3	AP1S3	control	treated	0.00630988328148007	389
geneComp_00024110	MALT1	MALT1	control	treated	0.00641199815848284	390
geneComp_00014987	CFAP92	CFAP92	control	treated	0.00653247096183971	391
geneComp_00020582	HTN3	HTN3	control	treated	0.00653745537457041	392
geneComp_00017585	ERAP2	ERAP2	control	treated	0.00662978106558581	393
geneComp_00009721	AL158071.2	AL158071.2	control	treated	0.0068467591520564	394
geneComp_00017922	FAM174B	FAM174B	control	treated	0.00686826936755532	395
geneComp_00029603	RAB43	RAB43	control	treated	0.0070667126680513	396
geneComp_00020106	HIPK3	HIPK3	control	treated	0.00725697940008279	397
geneComp_00021851	KRTCAP3	KRTCAP3	control	treated	0.00758235533532451	398
geneComp_00036609	TSPAN9	TSPAN9	control	treated	0.00764965188334278	399
geneComp_00026884	NUDT17	NUDT17	control	treated	0.00780371140158447	400
geneComp_00006920	AC122710.1	AC122710.1	control	treated	0.00784942016430079	401
geneComp_00014703	CDH18	CDH18	control	treated	0.00792682446717573	402
geneComp_00023782	LRIG2	LRIG2	control	treated	0.00800318021819213	403
geneComp_00017796	FABP3	FABP3	control	treated	0.00801826367583365	404
geneComp_00015283	CLEC18C	CLEC18C	control	treated	0.00832689282659174	405
geneComp_00013668	C11orf68	C11orf68	control	treated	0.00836894926517115	406
geneComp_00025824	MTX2	MTX2	control	treated	0.00848452798339254	407
geneComp_00028010	PEPD	PEPD	control	treated	0.0085947854664124	408
geneComp_00001462	AC008750.2	AC008750.2	control	treated	0.00860149909508101	409
geneComp_00020599	HTRA2	HTRA2	control	treated	0.00875349801050709	410
geneComp_00012767	ART3	ART3	control	treated	0.00890277852820959	411
geneComp_00015819	CRYBG2	CRYBG2	control	treated	0.00898563841513312	412
geneComp_00036779	TUBGCP6	TUBGCP6	control	treated	0.00911343139399724	413
geneComp_00038084	ZFAND2B	ZFAND2B	control	treated	0.00919709132008961	414
geneComp_00015971	CTHRC1	CTHRC1	control	treated	0.00957884771851069	415
geneComp_00017317	EIF3G	EIF3G	control	treated	0.00976377785129928	416
geneComp_00029109	PROX2	PROX2	control	treated	0.00980939047071741	417
geneComp_00036324	TRANK1	TRANK1	control	treated	0.00982740992139532	418
geneComp_00003186	AC022748.2	AC022748.2	control	treated	0.00983240894408655	419
geneComp_00018464	FMC1	FMC1	control	treated	0.00983517350346668	420
geneComp_00007677	AC242426.2	AC242426.2	control	treated	0.0100833090628272	421
geneComp_00023524	LINC02700	LINC02700	control	treated	0.0100833090628272	422
geneComp_00028157	PHF23	PHF23	control	treated	0.0100833090628272	423
geneComp_00027452	OSCP1	OSCP1	control	treated	0.0102286878508873	424
geneComp_00008381	AKAP7	AKAP7	control	treated	0.0102666325305912	425
geneComp_00023667	LIX1L-AS1	LIX1L-AS1	control	treated	0.010376127481741	426
geneComp_00038834	ZSCAN25	ZSCAN25	control	treated	0.010561780451239	427
geneComp_00019393	GPHN	GPHN	control	treated	0.010704805170825	428
geneComp_00027825	PCGF6	PCGF6	control	treated	0.0108082714820926	429
geneComp_00023876	LRRC8C-DT	LRRC8C-DT	control	treated	0.0108835583264134	430
geneComp_00013702	C14orf28	C14orf28	control	treated	0.0109827180411366	431
geneComp_00015680	CPNE8	CPNE8	control	treated	0.0111847364434139	432
geneComp_00020438	HRC	HRC	control	treated	0.0112215499818108	433
geneComp_00018198	FBXL19	FBXL19	control	treated	0.0112716130904755	434
geneComp_00024335	MCF2L2	MCF2L2	control	treated	0.0113812486530954	435
geneComp_00027046	ONECUT2	ONECUT2	control	treated	0.0114834016467379	436
geneComp_00022440	LINC00937	LINC00937	control	treated	0.0115519227882901	437
geneComp_00024693	MIR181A1HG	MIR181A1HG	control	treated	0.01194192257228	438
geneComp_00023351	LINC02434	LINC02434	control	treated	0.0121534359563784	439
geneComp_00014151	CARD10	CARD10	control	treated	0.0123677603170654	440
geneComp_00038626	ZNF687-AS1	ZNF687-AS1	control	treated	0.0124076609040455	441
geneComp_00028262	PIK3IP1	PIK3IP1	control	treated	0.0124359540350572	442
geneComp_00028383	PLAA	PLAA	control	treated	0.0124532052665085	443
geneComp_00018279	FCGRT	FCGRT	control	treated	0.0124696354694723	444
geneComp_00012051	AP001267.3	AP001267.3	control	treated	0.0125563499931129	445
geneComp_00021686	KLK4	KLK4	control	treated	0.0126450954761938	446
geneComp_00036591	TSPAN12	TSPAN12	control	treated	0.0127505543861345	447
geneComp_00012508	APOL3	APOL3	control	treated	0.0128093206723632	448
geneComp_00020674	IFI27	IFI27	control	treated	0.0128471625680239	449
geneComp_00023470	LINC02613	LINC02613	control	treated	0.0130202495818747	450
geneComp_00038859	ZWILCH	ZWILCH	control	treated	0.0130658597084695	451
geneComp_00034206	SNRPN	SNRPN	control	treated	0.0130698100709227	452
geneComp_00024381	MDK	MDK	control	treated	0.0131635582723625	453
geneComp_00015701	CPVL	CPVL	control	treated	0.0133570556855984	454
geneComp_00017224	EFL1	EFL1	control	treated	0.0136062892970939	455
geneComp_00035911	TMEM232	TMEM232	control	treated	0.0138045255581989	456
geneComp_00038522	ZNF566	ZNF566	control	treated	0.0141523030867373	457
geneComp_00025313	MPIG6B	MPIG6B	control	treated	0.01437856831281	458
geneComp_00038070	ZDHHC6	ZDHHC6	control	treated	0.0146354650744432	459
geneComp_00013525	BTBD3	BTBD3	control	treated	0.0146709866513725	460
geneComp_00024036	MADD-AS1	MADD-AS1	control	treated	0.014752534127962	461
geneComp_00016547	DHRS4-AS1	DHRS4-AS1	control	treated	0.01480963570882	462
geneComp_00038762	ZNF85	ZNF85	control	treated	0.0148705512723146	463
geneComp_00012151	AP001992.1	AP001992.1	control	treated	0.0152285936716344	464
geneComp_00016148	CYP27B1	CYP27B1	control	treated	0.0152947297672555	465
geneComp_00029434	PTPRF	PTPRF	control	treated	0.0153120283693958	466
geneComp_00012702	ARLNC1	ARLNC1	control	treated	0.0153666853407033	467
geneComp_00038147	ZHX3	ZHX3	control	treated	0.0153666853407033	468
geneComp_00011256	AL627171.2	AL627171.2	control	treated	0.0154035800986169	469
geneComp_00018620	FPGS	FPGS	control	treated	0.0154217043038269	470
geneComp_00038298	ZNF274	ZNF274	control	treated	0.0155698350700989	471
geneComp_00027031	OLAH	OLAH	control	treated	0.0156218322251936	472
geneComp_00000659	AC005520.5	AC005520.5	control	treated	0.0160407324812755	473
geneComp_00019442	GPR19	GPR19	control	treated	0.0162363923979354	474
geneComp_00001693	AC009303.2	AC009303.2	control	treated	0.0162825171848675	475
geneComp_00038190	ZNF101	ZNF101	control	treated	0.0163251951285194	476
geneComp_00000053	ABCA6	ABCA6	control	treated	0.0166079826647887	477
geneComp_00001580	AC009061.2	AC009061.2	control	treated	0.0168351367339997	478
geneComp_00033987	SNHG31	SNHG31	control	treated	0.0169308983031016	479
geneComp_00016179	CYP3A7	CYP3A7	control	treated	0.0170511205501506	480
geneComp_00017218	EFEMP2	EFEMP2	control	treated	0.0171624367036293	481
geneComp_00028216	PIEZO1	PIEZO1	control	treated	0.0171652613129175	482
geneComp_00012421	AP1B1	AP1B1	control	treated	0.0178830988917492	483
geneComp_00013497	BRSK1	BRSK1	control	treated	0.017934239379939	484
geneComp_00019358	GPAA1	GPAA1	control	treated	0.017934239379939	485
geneComp_00038517	ZNF561-AS1	ZNF561-AS1	control	treated	0.017934239379939	486
geneComp_00015708	CR2	CR2	control	treated	0.0179510529401906	487
geneComp_00034810	STK11IP	STK11IP	control	treated	0.0181458602437471	488
geneComp_00007149	AC131235.2	AC131235.2	control	treated	0.0181475925763636	489
geneComp_00035381	TDRD3	TDRD3	control	treated	0.0181475925763636	490
geneComp_00022912	LINC01754	LINC01754	control	treated	0.0183803489201105	491
geneComp_00016085	CXorf65	CXorf65	control	treated	0.0187421316556024	492
geneComp_00038570	ZNF615	ZNF615	control	treated	0.0192370361368874	493
geneComp_00021119	IRGM	IRGM	control	treated	0.0193108222758935	494
geneComp_00010579	AL390719.1	AL390719.1	control	treated	0.0194455525516636	495
geneComp_00023687	LMF1	LMF1	control	treated	0.0194455525516636	496
geneComp_00025827	MUC12	MUC12	control	treated	0.0201438935830837	497
geneComp_00036326	TRAPPC1	TRAPPC1	control	treated	0.0202820896404483	498
geneComp_00026956	NXF3	NXF3	control	treated	0.0206555096329514	499
geneComp_00007963	ACTN4	ACTN4	control	treated	0.0206858169379838	500
geneComp_00019107	GINS4	GINS4	control	treated	0.0210123710185683	501
geneComp_00010836	AL451165.2	AL451165.2	control	treated	0.0211668595689741	502
geneComp_00010070	AL354733.2	AL354733.2	control	treated	0.0212377920966899	503
geneComp_00027457	OSGEPL1-AS1	OSGEPL1-AS1	control	treated	0.0212871444834984	504
geneComp_00013732	C17orf58	C17orf58	control	treated	0.021328325099197	505
geneComp_00024624	MIER2	MIER2	control	treated	0.0217527375562078	506
geneComp_00010182	AL355499.1	AL355499.1	control	treated	0.022026583745559	507
geneComp_00012795	ASB6	ASB6	control	treated	0.0220701999502763	508
geneComp_00038774	ZNF880	ZNF880	control	treated	0.0223477057115545	509
geneComp_00016374	DDT	DDT	control	treated	0.0224485678698899	510
geneComp_00028402	PLCB1	PLCB1	control	treated	0.0225538140042494	511
geneComp_00023933	LTBP1	LTBP1	control	treated	0.0227358553237565	512
geneComp_00019517	GRB7	GRB7	control	treated	0.0228629237161368	513
geneComp_00038608	ZNF668	ZNF668	control	treated	0.0228897590310044	514
geneComp_00024319	MC1R	MC1R	control	treated	0.0229640848391875	515
geneComp_00026374	NEXN	NEXN	control	treated	0.0230608056910393	516
geneComp_00037112	UNK	UNK	control	treated	0.0233455217735782	517
geneComp_00033363	SLC15A2	SLC15A2	control	treated	0.0235491075628748	518
geneComp_00018386	FHL2	FHL2	control	treated	0.0236169340219282	519
geneComp_00037565	WDR54	WDR54	control	treated	0.0238426640048781	520
geneComp_00016354	DDAH2	DDAH2	control	treated	0.0241934620005819	521
geneComp_00035899	TMEM217	TMEM217	control	treated	0.0243830299560378	522
geneComp_00008017	ADAM3A	ADAM3A	control	treated	0.0245978008213446	523
geneComp_00026168	NCF1	NCF1	control	treated	0.0245978008213446	524
geneComp_00016394	DDX19B	DDX19B	control	treated	0.0246971073802653	525
geneComp_00017893	FAM157B	FAM157B	control	treated	0.0253539480448142	526
geneComp_00007427	AC139099.1	AC139099.1	control	treated	0.0256049128146076	527
geneComp_00028838	PPM1N	PPM1N	control	treated	0.0257326067641411	528
geneComp_00028630	POLM	POLM	control	treated	0.0260140997212091	529
geneComp_00013347	BLOC1S2	BLOC1S2	control	treated	0.0261656599246938	530
geneComp_00032818	SCYL3	SCYL3	control	treated	0.0261656599246938	531
geneComp_00032648	SAP25	SAP25	control	treated	0.0262704532920463	532
geneComp_00021940	LAT	LAT	control	treated	0.0264277781661302	533
geneComp_00035416	TEN1-CDK3	TEN1-CDK3	control	treated	0.0281556867790544	534
geneComp_00034730	ST6GALNAC3	ST6GALNAC3	control	treated	0.0282896407514936	535
geneComp_00037211	USP35	USP35	control	treated	0.0284806533664175	536
geneComp_00015506	COL28A1	COL28A1	control	treated	0.0285884252895411	537
geneComp_00028527	PMEL	PMEL	control	treated	0.0287655464619858	538
geneComp_00033438	SLC25A14	SLC25A14	control	treated	0.0287655464619858	539
geneComp_00011732	ANKRD7	ANKRD7	control	treated	0.0288410892815447	540
geneComp_00003536	AC026254.2	AC026254.2	control	treated	0.0292436596394856	541
geneComp_00024984	MIR548XHG	MIR548XHG	control	treated	0.0293851959623591	542
geneComp_00018954	GBAP1	GBAP1	control	treated	0.0294090359839459	543
geneComp_00038397	ZNF414	ZNF414	control	treated	0.0294270716845664	544
geneComp_00014563	CD226	CD226	control	treated	0.0295712817372089	545
geneComp_00035445	TESPA1	TESPA1	control	treated	0.0296227278696174	546
geneComp_00033447	SLC25A19	SLC25A19	control	treated	0.0296250560066026	547
geneComp_00007497	AC141586.1	AC141586.1	control	treated	0.0298996580380389	548
geneComp_00028080	PGAP3	PGAP3	control	treated	0.0300353317384693	549
geneComp_00008386	AKIP1	AKIP1	control	treated	0.0301269937858203	550
geneComp_00036340	TRAPPC6B	TRAPPC6B	control	treated	0.0303882388975228	551
geneComp_00021663	KLHL32	KLHL32	control	treated	0.0305845160983875	552
geneComp_00026968	NXT2	NXT2	control	treated	0.0307513583975246	553
geneComp_00006027	AC104109.4	AC104109.4	control	treated	0.030783216398192	554
geneComp_00037300	VCPKMT	VCPKMT	control	treated	0.030807878368284	555
geneComp_00018209	FBXO10	FBXO10	control	treated	0.030898274715542	556
geneComp_00019929	HCFC1R1	HCFC1R1	control	treated	0.0311007216143258	557
geneComp_00033008	SERINC2	SERINC2	control	treated	0.0311007216143258	558
geneComp_00024195	MAP7	MAP7	control	treated	0.0311595291802367	559
geneComp_00038540	ZNF582	ZNF582	control	treated	0.0311595291802367	560
geneComp_00029783	RASGRP4	RASGRP4	control	treated	0.0315978229534948	561
geneComp_00000394	AC004803.1	AC004803.1	control	treated	0.0317851795915528	562
geneComp_00028406	PLCB4	PLCB4	control	treated	0.0319502967078594	563
geneComp_00002801	AC018755.3	AC018755.3	control	treated	0.0321598004463896	564
geneComp_00005381	AC092903.2	AC092903.2	control	treated	0.0322931751544142	565
geneComp_00027639	PAOX	PAOX	control	treated	0.0323306654007378	566
geneComp_00028399	PLBD1	PLBD1	control	treated	0.0323327912419212	567
geneComp_00013654	C10orf88B	C10orf88B	control	treated	0.0326801983568229	568
geneComp_00014758	CDK9	CDK9	control	treated	0.0330660883486271	569
geneComp_00023071	LINC02002	LINC02002	control	treated	0.0330660883486271	570
geneComp_00018948	GATD3B	GATD3B	control	treated	0.033751288952075	571
geneComp_00027731	PBX4	PBX4	control	treated	0.0341364233410185	572
geneComp_00036098	TNFRSF8	TNFRSF8	control	treated	0.0341545633149395	573
geneComp_00013530	BTBD8	BTBD8	control	treated	0.0343719522795716	574
geneComp_00016578	DIAPH3	DIAPH3	control	treated	0.0345812346606637	575
geneComp_00015706	CR1	CR1	control	treated	0.0350355609128727	576
geneComp_00017239	EGF	EGF	control	treated	0.0350355609128727	577
geneComp_00028936	PPT2	PPT2	control	treated	0.0350764314459598	578
geneComp_00033330	SLAMF6	SLAMF6	control	treated	0.0353018022583849	579
geneComp_00033188	SH3YL1	SH3YL1	control	treated	0.0357501235987984	580
geneComp_00018427	FLACC1	FLACC1	control	treated	0.0362482306265726	581
geneComp_00013771	C1orf112	C1orf112	control	treated	0.0369621263717541	582
geneComp_00013274	BDNF-AS	BDNF-AS	control	treated	0.0371262817375178	583
geneComp_00016987	DUSP13	DUSP13	control	treated	0.0371718775369822	584
geneComp_00032911	SELENBP1	SELENBP1	control	treated	0.0372163326007784	585
geneComp_00023008	LINC01905	LINC01905	control	treated	0.0378411615166517	586
geneComp_00038136	ZFYVE26	ZFYVE26	control	treated	0.0383217196816246	587
geneComp_00027053	OOSP4B	OOSP4B	control	treated	0.0383447813313774	588
geneComp_00004570	AC079949.1	AC079949.1	control	treated	0.03910195747304	589
geneComp_00015009	CFL2	CFL2	control	treated	0.0394369739649447	590
geneComp_00038269	ZNF232	ZNF232	control	treated	0.0398968002591844	591
geneComp_00027957	PDP1	PDP1	control	treated	0.0400457359454337	592
geneComp_00020743	IGF2BP2-AS1	IGF2BP2-AS1	control	treated	0.0401148654917368	593
geneComp_00027572	PACRGL	PACRGL	control	treated	0.0408689387163252	594
geneComp_00030027	RFNG	RFNG	control	treated	0.041024775957554	595
geneComp_00003167	AC022540.1	AC022540.1	control	treated	0.0411327171004047	596
geneComp_00029568	RAB26	RAB26	control	treated	0.0412286802741667	597
geneComp_00036503	TRMT1	TRMT1	control	treated	0.042199453042184	598
geneComp_00014391	CCDC51	CCDC51	control	treated	0.0423489750184287	599
geneComp_00020061	HHEX	HHEX	control	treated	0.0424327873581464	600
geneComp_00003785	AC034238.1	AC034238.1	control	treated	0.0424886169298543	601
geneComp_00005351	AC092807.3	AC092807.3	control	treated	0.0427936925721214	602
geneComp_00035931	TMEM254	TMEM254	control	treated	0.0429843338983045	603
geneComp_00025537	MSRB2	MSRB2	control	treated	0.0438311985566325	604
geneComp_00016242	DAG1	DAG1	control	treated	0.0442039596719038	605
geneComp_00029854	RBM26-AS1	RBM26-AS1	control	treated	0.0443312081237434	606
geneComp_00014984	CFAP74	CFAP74	control	treated	0.0449222448101779	607
geneComp_00032652	SAP30L	SAP30L	control	treated	0.0449583952190126	608
geneComp_00038494	ZNF534	ZNF534	control	treated	0.0449583952190126	609
geneComp_00000350	AC004540.1	AC004540.1	control	treated	0.0449904579767839	610
geneComp_00016693	DNAAF5	DNAAF5	control	treated	0.0451320224617919	611
geneComp_00007916	ACSL6	ACSL6	control	treated	0.0455532355705978	612
geneComp_00025687	MTG1	MTG1	control	treated	0.0455532355705978	613
geneComp_00008231	AF279873.3	AF279873.3	control	treated	0.0457449635547812	614
geneComp_00032824	SDC2	SDC2	control	treated	0.046314602784745	615
geneComp_00014802	CDYL	CDYL	control	treated	0.0463798578529061	616
geneComp_00017384	ELK1	ELK1	control	treated	0.0476407995649319	617
geneComp_00035325	TCF19	TCF19	control	treated	0.0477001969361197	618
geneComp_00029915	RCAN3	RCAN3	control	treated	0.0477273105865678	619
geneComp_00037414	VPS37B	VPS37B	control	treated	0.0481371040028251	620
geneComp_00025800	MTRF1L	MTRF1L	control	treated	0.0485073337143119	621
geneComp_00028078	PGAP1	PGAP1	control	treated	0.0485073337143119	622
geneComp_00000076	ABCC3	ABCC3	control	treated	0.0495750670557543	623
geneComp_00011495	ALG10	ALG10	control	treated	0.0496617134289826	624
